SerialNumber;DeviceName;DeviceType;PersonLastName;PersonFirstName;MailAddress;From;To
123456;Samsung 10";Tablet;Huber;Max;max.huber@gmail.at;08.10.2018;12.11.2018
123456;Samsung 10";Tablet;Meier;Franz;f.meier@gmx.net;01.12.2018;31.12.2018
123456;Samsung 10";Tablet;Müller;Hugo;x.x@x.x;01.02.2019;12.03.2019
123456;Samsung 10";Tablet;Lang;Susi;s.lang@a.a;14.03.2019;
987654;IPhone 6;SmartPhone;Lang;Susi;s.lang@a.a;01.12.2018;28.03.2019
987654;IPhone 6;SmartPhone;Müller;Hugo;x.x@x.x;01.04.2019;
AS12345;Asus 176NV;Notebook;Huber;Max;max.huber@gmail.at;01.07.2019;
AS12345;Asus 176NV;Notebook;Meier;Franz;f.meier@gmx.net;01.08.2018;22.11.2018
AS12345;Asus 176NV;Notebook;Huber;Max;max.huber@gmail.at;03.12.2018;22.01.2019
76543;IPad;Tablet;Huber;Max;max.huber@gmail.at;01.07.2018;
